1,7691
2,5912
3,8648
4,5610
5,2890
6,3218
7,2264
8,1202
9,995
10,726
11,689
12,447
13,394
14,415
15,379
16,452
17,427
18,396
19,401
20,340
21,314
22,270
23,252
24,200
25,110
26,181
27,130
28,136
29,122
30,145
31,90
32,113
33,117
34,86
35,54
36,73
37,67
38,66
39,63
40,44
41,42
42,44
43,26
44,52
45,26
46,34
47,25
48,31
49,23
50,31
51,31
52,21
53,24
54,18
55,22
56,23
57,23
58,14
59,22
60,10
61,37
62,27
63,6
64,15
65,16
66,33
67,14
68,16
69,16
70,14
71,18
72,8
73,12
74,16
75,10
76,7
77,13
78,8
79,12
80,11
81,11
82,4
83,2
86,8
88,12
89,3
90,5
92,8
93,4
94,4
95,1
96,7
98,2
99,10
100,6
101,2
102,6
104,2
106,2
107,2
108,2
110,4
111,6
112,4
115,10
116,4
118,6
121,4
123,2
124,2
125,4
128,1
129,1
130,4
131,4
132,2
133,4
134,2
135,6
138,2
139,3
141,2
142,2
145,4
146,2
147,1
151,3
152,2
156,2
158,2
161,2
162,2
164,1
165,1
166,3
173,2
178,2
181,2
186,2
187,2
194,4
196,2
198,2
202,2
213,2
216,4
218,2
220,4
245,2
261,1
262,1
267,2
271,2
275,2
317,1
324,3
377,2
402,2
429,1
436,2
439,2
471,1
496,2
515,2
520,2
616,2
648,2
771,2
782,2
801,2
920,2
929,2
980,2
1,651
2,214
3,69
4,45
5,18
6,6
7,7
8,1
11,18
12,39
13,41
14,36
15,14
16,18
18,6
19,4
20,4
22,4
23,2
24,10
25,4
26,18
27,18
28,11
29,5
30,4
32,2
34,2
35,2
38,2
41,2
43,4
67,2
70,2
71,2
85,2
94,1
95,1
113,2
115,2
117,1
118,1
124,2
242,2
750,1
751,1
827,1
828,1
1,651
2,214
3,69
4,45
5,18
6,6
7,7
8,1
11,18
12,39
13,41
14,36
15,14
16,18
18,6
19,4
20,4
22,4
23,2
24,10
25,4
26,18
27,18
28,11
29,5
30,4
32,2
34,2
35,2
38,2
41,2
43,4
67,2
70,2
71,2
85,2
94,1
95,1
113,2
115,2
117,1
118,1
124,2
242,2
750,1
751,1
827,1
828,1
